Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1684944000000,1793.36000000,1793.78000000,1785.00000000,1789.40000000,12968.20930000,1684947599999,23195597.59819200,19697,6147.54440000,10995966.62006700,0
1684947600000,1789.39000000,1795.38000000,1785.23000000,1792.74000000,11789.67390000,1684951199999,21115176.22720600,17469,5716.62970000,10238563.50500900,0
1684951200000,1792.73000000,1794.67000000,1786.69000000,1788.20000000,9811.93310000,1684954799999,17568923.71047700,15890,5252.35990000,9404994.90634100,0
1684954800000,1788.19000000,1798.63000000,1786.26000000,1792.79000000,14843.61580000,1684958399999,26622943.11242500,18707,7621.31170000,13664939.36384700,0
1684958400000,1792.79000000,1809.29000000,1791.89000000,1804.60000000,20133.65480000,1684961999999,36266917.01876000,26598,10782.98560000,19419197.23899000,0
1684962000000,1804.61000000,1809.20000000,1791.80000000,1800.41000000,11326.73780000,1684965599999,20421564.97487400,17607,5580.25680000,10060802.71127800,0
1684965600000,1800.42000000,1803.60000000,1797.64000000,1799.38000000,7222.31350000,1684969199999,13003261.81456400,11768,3545.58790000,6382893.57284700,0
1684969200000,1799.39000000,1803.20000000,1798.73000000,1799.89000000,4895.56440000,1684972799999,8818636.14249800,8800,2569.66770000,4628889.01651800,0
1684972800000,1799.89000000,1807.33000000,1790.91000000,1792.06000000,23487.63510000,1684976399999,42218912.95447800,32848,8795.02740000,15816482.46268800,0
1684976400000,1792.06000000,1798.34000000,1761.41000000,1777.15000000,58692.44550000,1684979999999,104354677.69647900,62994,24818.46420000,44080385.62944300,0
1684980000000,1777.15000000,1780.66000000,1774.98000000,1779.80000000,9528.66730000,1684983599999,16938295.56777700,15395,4588.98080000,8157400.22130600,0
1684983600000,1779.79000000,1783.09000000,1775.92000000,1781.27000000,11183.23860000,1684987199999,19900987.18297200,16028,5914.42990000,10524181.08147500,0
1684987200000,1781.28000000,1782.41000000,1774.45000000,1779.17000000,11974.03400000,1684990799999,21294702.68923300,17714,6102.51820000,10852588.41260500,0
1684990800000,1779.18000000,1784.49000000,1778.41000000,1784.16000000,5217.13710000,1684994399999,9292713.73444500,12442,2710.87470000,4828634.66423800,0
1684994400000,1784.17000000,1787.52000000,1782.69000000,1784.08000000,9211.49420000,1684997999999,16439807.11798200,19958,4191.18590000,7480059.01008900,0
1684998000000,1784.07000000,1785.00000000,1777.65000000,1778.68000000,11542.81130000,1685001599999,20559655.25862600,17052,5158.96950000,9188716.54432100,0
1685001600000,1778.68000000,1786.80000000,1778.68000000,1784.99000000,9775.52490000,1685005199999,17439464.84491700,15635,5407.28180000,9646228.68890500,0
1685005200000,1784.99000000,1788.20000000,1784.98000000,1787.36000000,6774.99040000,1685008799999,12104231.94230400,12771,3240.24850000,5788620.90149700,0
